count;dtCon
1;310;4294967294
2;161;0
3;143;0
4;147;0
5;137;0
6;154;0
7;129;0
8;161;0
9;129;0
10;158;0
11;134;0
12;149;0
13;143;0
14;129;0
15;129;0
16;128;0
17;128;0
18;128;0
19;128;0
20;128;0
21;128;0
22;128;0
23;128;0
24;129;0
25;128;0
26;157;0
27;129;0
28;158;0
29;129;0
30;148;0
31;141;0
32;141;0
33;148;0
34;137;0
35;155;0
36;129;0
37;162;0
38;128;0
39;128;0
40;130;0
41;128;0
42;128;0
43;128;0
44;128;0
45;128;0
46;129;0
47;128;0
48;128;0
49;128;0
50;141;0
51;149;0
52;134;0
53;155;0
54;129;0
55;161;0
56;128;0
57;154;0
58;137;0
59;144;0
60;141;0
61;137;0
62;150;0
63;129;0
64;129;0
65;128;0
66;129;0
67;128;0
68;128;0
69;128;0
70;147;0
71;128;0
72;128;0
73;128;0
74;128;0
75;162;0
76;129;0
77;149;0
78;137;0
79;144;0
80;145;0
81;137;0
82;154;0
83;128;0
84;161;0
85;129;0
86;153;0
87;134;0
88;128;0
89;128;0
90;128;0
91;128;0
92;128;0
93;128;0
94;128;0
95;128;0
96;128;0
97;128;0
98;128;0
99;134;0
100;153;0
