count;dtCon
799;4
800;3
801;3
802;3
803;3
804;4
805;4
806;4
807;3
808;3
809;3
810;3
811;4
812;4
813;3
814;3
815;3
816;3
817;4
818;4
819;3
820;3
821;3
822;3
823;4
824;4
825;3
826;3
827;3
828;3
829;3
830;4
831;4
832;3
833;3
834;3
835;3
836;4
837;4
838;3
839;3
840;3
841;3
842;4
843;4
844;4
845;3
846;3
847;3
848;4
849;4
850;4
851;3
852;3
853;3
854;3
855;4
856;4
857;3
858;3
859;3
860;3
861;4
862;4
863;3
864;3
865;3
866;3
867;3
868;4
869;3
870;3
871;3
872;3
873;3
874;4
875;4
876;3
877;3
878;3
879;3
880;4
881;4
882;3
883;3
884;3
885;3
886;4
887;4
888;4
889;3
890;3
891;3
892;4
893;4
894;4
895;3
896;3
897;3
898;3
899;4
900;4
901;3
902;3
903;3
904;3
905;4
906;4
907;3
908;3
909;3
910;3
911;3
912;4
913;4
914;3
915;3
916;3
917;3
918;4
919;4
920;3
921;3
922;3
923;3
924;4
925;4
926;3
927;3
928;3
929;3
930;4
931;4
932;4
933;3
934;3
935;3
936;3
937;4
938;4
939;3
940;3
941;3
942;3
943;4
944;4
945;3
946;3
947;3
948;3
949;4
950;4
951;3
952;3
953;3
954;3
955;3
956;4
957;4
958;3
959;3
960;3
961;3
962;4
963;4
964;3
965;3
966;3
967;3
968;4
969;4
970;3
971;3
972;3
973;3
974;4
975;4
976;4
977;3
978;3
979;3
980;3
981;4
982;4
983;3
984;3
985;3
986;3
987;4
988;4
989;4
990;3
991;3
992;3
993;3
994;3
995;4
996;4
997;4
998;3
999;3
1000;3
